RiskAdjustedReturn,TransactionFrequency,TransactionFees,EstimatedAvgReturnPrivateAsset,EstimatedReturnPublicAsset,EstimatedAvgReturnCommodities,FuturePricesNaturalGas,SPVolatilityIndex,BloombergHedgeFundIndex,RealEstateIndex,SPPrivateEquityIndex,CreditScore,AccountType,RiskType,FinancialGoalUpdated,CustomerRevenueFall70,CustomerRevenueRecovery40,SentimentAnalysis,Churn
51,37,0,15,16,34,7,174,1264,3745,388,3,1,0,0,0,0,2,0
12,28,2,14,6,13,2,166,1077,1683,376,0,0,2,0,0,0,2,0
43,19,6,22,16,20,5,106,1547,2899,340,3,0,2,0,0,0,1,1
82,49,1,12,27,13,7,176,2211,1367,371,2,0,0,0,0,0,0,0
29,6,6,9,20,19,3,141,1742,2333,323,0,1,2,1,1,0,2,1
43,41,4,8,15,36,7,130,2367,1511,374,2,0,2,1,1,1,1,1
88,34,5,17,4,42,3,146,1334,3148,405,1,0,0,1,0,0,0,0
71,12,2,3,30,25,5,194,2405,2691,393,4,0,0,1,0,0,1,0
88,23,0,40,19,15,5,129,1834,3235,343,1,1,4,0,1,0,0,1
85,22,7,39,32,29,5,145,1831,3530,389,2,0,0,0,1,0,0,0
72,21,5,36,23,11,6,135,1736,3501,387,2,0,0,1,0,1,2,0
49,31,1,44,0,37,3,96,1778,2496,414,1,1,2,1,1,0,0,0
4,13,7,38,19,52,6,102,1375,2446,312,4,0,3,0,0,1,2,0
38,16,4,46,34,12,5,128,1457,3820,388,2,1,2,1,0,1,0,1
1,35,1,7,35,30,4,190,2233,3997,355,3,1,3,1,1,0,1,1
63,14,7,25,11,9,5,152,1773,1760,380,1,0,4,1,1,0,2,0
10,6,3,49,6,44,4,104,2358,1921,340,2,0,0,0,0,0,0,0
66,42,2,5,29,40,6,102,1429,2400,376,1,0,0,1,0,0,2,0
25,16,1,21,17,31,7,111,1743,3865,331,2,0,3,1,0,1,0,1
87,27,6,42,26,51,3,103,1726,1625,379,3,0,3,1,1,0,2,0
82,28,1,39,2,11,5,85,1471,1708,391,0,0,4,0,1,0,2,1
41,7,7,36,5,42,2,91,2365,2926,357,1,0,0,1,0,0,0,0
24,31,1,28,33,11,5,113,1013,3249,362,1,0,0,1,0,0,2,0
3,10,4,47,21,49,6,198,1890,1702,367,0,1,0,1,1,0,0,0
68,48,2,50,27,18,6,163,2351,2889,318,2,0,4,1,0,0,0,0
36,6,1,16,31,48,5,153,2303,1743,356,3,1,1,1,1,0,2,1
52,7,5,8,5,46,4,160,1664,1287,351,1,1,2,0,0,0,0,0
76,11,4,20,16,41,2,143,1738,2164,410,2,1,4,1,0,0,1,0
53,3,1,22,23,47,2,129,1692,3821,329,2,1,3,0,1,1,1,1
37,36,8,7,24,24,3,169,1892,2069,354,2,1,1,1,0,0,0,0
59,12,2,24,20,35,2,138,1581,3904,305,3,0,2,1,0,0,2,0
22,49,8,43,28,48,6,176,2484,2443,366,3,1,0,0,0,0,2,0
77,2,0,39,8,9,2,156,2379,1383,371,2,1,1,1,1,1,0,0
-1,25,6,3,19,47,2,126,1359,1708,350,2,0,1,0,0,0,0,0
38,28,0,43,13,20,6,191,1507,3544,420,3,0,3,1,0,0,1,1
72,39,2,3,3,40,6,173,1859,3000,412,1,0,0,0,0,0,0,0
87,35,5,8,26,51,4,177,1744,2652,394,2,0,2,1,1,1,0,1
36,49,8,49,9,33,6,101,2266,1909,313,2,0,4,1,1,0,0,1
13,8,7,36,24,19,7,165,1402,3444,400,1,1,0,1,0,0,0,0
11,27,7,17,18,45,2,187,1554,1785,303,1,0,0,1,1,1,2,0
5,4,1,35,27,8,4,155,2419,3854,318,0,0,4,1,1,0,2,0
56,2,8,36,2,54,2,89,1326,3667,409,1,0,0,1,0,0,0,0
69,5,5,27,2,17,7,106,1097,3288,391,3,1,0,1,0,0,0,0
67,24,1,43,3,39,4,183,1054,1147,301,2,0,2,0,0,0,0,0
32,19,6,41,17,39,4,136,1605,1601,320,2,0,2,1,0,0,0,0
9,0,2,39,28,3,7,135,1308,3161,417,3,1,0,1,0,0,2,0
77,17,2,33,3,1,4,194,1436,3685,394,4,1,4,0,0,0,0,0
80,16,2,44,34,7,2,122,1750,3820,409,1,0,0,1,0,0,0,0
63,23,1,4,18,5,2,194,1942,1300,370,1,1,2,1,1,1,2,1
11,21,1,1,9,40,4,126,1145,2028,361,0,1,3,1,1,1,0,0
71,24,2,42,7,28,6,186,1590,2761,350,2,0,0,0,0,1,1,1
16,37,3,21,26,11,2,127,2069,3324,375,3,1,1,1,1,0,0,0
13,22,1,21,16,7,5,139,1623,1925,350,0,1,0,1,1,0,2,1
36,40,6,45,21,17,6,149,2250,3973,343,0,1,2,0,0,1,2,1
3,25,1,4,25,8,4,98,1868,3607,405,1,0,0,1,0,0,0,0
27,18,4,2,32,13,2,189,2262,2585,362,1,0,1,1,0,0,2,0
33,49,0,19,29,49,3,143,1532,1647,356,1,0,0,1,0,0,2,0
79,40,1,31,13,38,7,86,2406,2267,304,1,0,2,1,0,0,2,0
57,23,7,47,13,32,5,158,2439,2882,396,1,0,0,1,0,0,0,0
33,48,2,8,21,20,5,125,2319,1823,360,1,0,2,0,0,0,0,0
28,9,0,5,23,26,7,185,2297,3302,309,4,1,2,1,1,1,0,0
30,33,4,37,22,50,3,110,1085,1201,343,4,0,1,1,1,1,2,1
49,27,7,29,33,23,4,142,1340,1712,307,0,0,2,0,0,0,0,0
71,29,6,44,6,7,7,155,1954,3693,325,3,0,4,1,1,0,1,1
69,20,5,49,27,32,6,158,2067,3401,325,2,1,0,0,1,1,1,0
57,16,1,16,7,54,6,93,1653,3889,399,3,0,0,1,0,1,0,0
0,49,6,13,19,38,6,128,1787,3114,307,1,0,0,1,0,0,0,0
10,46,5,29,3,28,6,162,2035,3209,319,1,1,3,1,0,0,2,1
72,7,7,21,23,3,7,131,1039,1910,371,1,0,2,1,0,0,2,0
86,33,8,10,6,53,4,173,1435,2492,311,4,0,4,1,1,0,1,1
65,21,8,29,13,14,3,115,2368,3601,368,2,1,2,0,1,0,0,0
22,30,6,5,35,50,7,119,2232,1744,320,2,1,0,0,0,0,2,1
83,29,0,48,5,7,3,117,1199,1721,347,0,1,2,1,1,1,2,0
16,7,0,17,25,25,7,181,2032,3879,324,2,0,1,1,0,0,2,0
82,29,3,7,5,30,2,161,1002,2216,399,1,0,2,1,0,0,0,0
33,25,7,42,32,3,5,151,1855,2429,350,1,0,1,1,0,1,2,0
51,15,3,21,4,47,5,144,1404,1353,389,1,0,0,0,0,0,0,0
78,37,2,16,12,4,5,90,1005,2523,383,4,1,0,1,1,1,2,1
83,28,8,47,16,24,4,165,1929,1502,353,3,0,0,1,0,0,2,1
65,30,0,35,32,26,4,90,1004,2556,366,2,0,2,1,0,0,2,0
61,37,8,26,0,25,4,89,2403,3042,304,3,0,4,0,1,0,2,0
68,13,4,29,26,22,4,117,2224,1584,391,2,0,1,1,0,0,0,0
19,43,1,40,34,21,5,183,1236,1824,377,4,1,0,0,0,1,2,0
32,39,4,36,14,49,5,87,1656,1633,376,0,0,0,1,0,1,2,0
50,30,5,44,21,3,6,149,1797,2935,396,0,0,0,0,0,0,2,0
38,26,2,0,24,12,7,131,1144,1760,402,4,1,3,0,1,1,2,0
7,45,0,31,30,20,2,119,1497,3736,310,1,1,0,0,0,1,0,0
77,34,5,48,33,34,7,189,1679,3346,305,0,1,0,0,0,0,0,0
29,33,6,11,3,4,4,106,1707,1164,414,1,0,1,0,0,0,0,0
62,27,6,42,28,37,5,119,2008,1892,387,1,0,0,1,0,0,2,0
73,28,5,9,7,43,3,85,1849,3892,319,3,1,4,0,1,1,0,0
8,41,1,26,12,10,2,99,1656,3031,307,1,0,1,1,0,0,2,0
70,22,5,23,9,45,3,106,2239,3618,360,0,0,2,1,0,0,2,0
53,2,3,26,28,32,5,195,1087,2792,373,2,0,2,0,0,1,2,0
69,17,4,26,27,20,7,141,1986,3593,338,3,0,2,1,0,1,2,0
86,17,6,44,14,3,2,171,1504,2071,368,4,0,3,0,0,0,0,1
5,32,3,2,14,46,7,151,1766,1368,396,1,0,0,0,0,0,0,0
75,40,5,28,1,6,7,93,2301,2696,346,2,0,2,0,0,0,2,1
31,20,5,38,2,25,6,189,1224,1383,348,3,1,0,0,0,1,2,1
27,31,8,19,12,13,2,194,2422,1692,352,0,1,0,0,0,0,2,0
81,12,1,30,31,31,7,115,1796,3976,360,1,1,4,0,0,1,2,1
26,20,4,29,6,42,3,117,1742,2082,395,2,1,1,0,1,1,0,0
13,15,1,5,8,9,5,194,1132,3202,310,1,0,0,1,0,0,0,0
76,25,0,44,7,37,4,120,1952,3809,326,3,1,1,0,1,0,2,0
68,11,3,0,10,28,4,154,1978,1719,393,1,0,2,1,0,0,2,0
29,8,1,17,6,15,4,131,1356,1464,339,1,0,2,1,0,0,0,0
47,3,3,48,9,46,6,85,1045,1531,335,4,1,4,0,0,0,0,0
88,13,1,4,34,25,5,128,2398,2738,348,0,1,3,1,0,1,1,0
29,27,8,49,14,45,5,98,1607,3021,370,3,0,3,1,0,1,0,0
33,20,4,7,9,20,2,102,1769,3912,365,2,0,0,0,1,0,2,1
66,15,6,9,34,21,2,169,2380,2091,352,2,0,3,0,0,1,2,1
46,29,1,31,24,7,6,88,1809,3222,350,2,1,4,0,0,1,0,0
2,15,1,11,1,17,7,179,2038,2485,399,3,0,1,0,0,1,1,1
13,44,1,46,19,49,2,170,2345,1503,325,4,0,4,1,0,1,0,1
76,3,5,0,15,5,5,116,1558,3161,402,4,1,3,0,0,0,2,0
44,23,6,15,17,41,5,175,2291,3320,391,0,1,2,0,0,1,2,0
90,14,1,6,22,11,2,147,2162,3128,350,3,0,2,1,0,1,0,0
59,21,3,15,19,44,2,123,2463,1209,409,1,0,0,1,0,0,0,0
8,23,0,31,28,8,5,88,1725,1300,354,2,1,1,1,0,1,2,1
59,24,7,4,6,8,2,113,1197,3134,390,2,0,0,0,0,0,2,0
79,26,3,34,8,36,7,102,1822,3450,319,3,0,2,1,0,1,2,1
46,31,3,11,26,17,2,153,1512,2859,332,3,1,0,1,0,0,2,0
78,10,2,24,15,26,4,97,2312,2939,347,4,0,1,1,0,1,2,0
4,45,4,36,20,25,5,189,1830,2624,396,0,0,4,0,0,0,2,1
71,47,6,20,23,41,6,140,2149,3502,309,2,1,3,1,1,1,0,0
79,41,5,36,35,47,2,147,1997,1334,332,0,0,4,1,0,0,2,0
47,10,8,45,5,51,7,172,1542,2903,332,1,1,2,0,1,0,1,1
12,15,5,40,2,19,3,133,1322,3027,354,1,1,3,0,1,0,0,0
42,9,5,43,9,29,7,198,2131,2381,343,0,1,2,1,0,0,2,0
74,20,1,45,1,12,6,114,1666,2477,365,1,0,0,1,0,0,2,0
33,46,7,47,14,49,6,86,2406,3386,374,1,1,0,0,0,1,2,0
9,16,2,23,5,4,6,149,1822,1565,349,1,0,2,1,0,0,2,0
20,45,2,13,31,7,7,131,1414,2450,409,0,1,0,0,1,1,0,1
73,42,6,5,20,44,2,161,1779,2047,406,1,0,4,0,0,0,0,0
30,27,5,29,21,19,4,160,1449,2543,320,1,0,0,1,0,0,0,0
36,18,8,34,28,43,6,188,2358,3860,326,4,1,1,1,1,0,1,1
69,45,0,30,20,36,2,167,1539,1305,331,4,1,1,0,0,0,0,0
68,21,7,28,34,22,2,128,1119,1997,344,3,0,1,0,0,0,2,0
2,35,6,22,27,37,6,130,1704,3003,301,0,0,1,1,0,0,1,1
52,40,4,18,34,6,5,151,2473,2082,370,2,1,2,0,0,1,2,1
48,2,6,17,27,11,2,153,1701,1759,324,1,0,2,1,0,0,0,0
58,9,6,1,14,10,2,140,1792,3632,334,0,1,2,1,0,0,2,0
36,44,2,16,10,22,6,123,1733,2422,348,4,0,2,1,0,0,0,0
71,24,3,15,27,31,4,148,2427,1549,329,4,0,0,0,0,1,2,1
57,34,0,22,34,25,6,194,2115,3769,366,1,0,1,1,0,0,2,0
1,6,7,48,24,27,4,178,1318,2247,369,2,0,4,1,1,0,2,0
22,10,4,33,33,19,7,182,1813,1461,342,1,0,2,0,0,0,0,0
44,30,4,1,33,53,7,142,1478,3818,309,0,1,3,0,0,0,2,0
32,25,5,4,22,25,7,140,1709,1159,305,4,1,2,0,0,1,2,0
9,20,4,28,25,53,4,171,1198,2536,369,2,0,2,1,0,0,0,0
34,48,4,7,2,41,7,175,2231,2285,322,1,0,2,1,0,0,0,0
25,7,4,12,19,22,5,198,1765,3450,302,4,0,0,0,1,1,0,1
4,31,6,3,30,37,3,128,1888,3744,382,2,1,2,0,1,1,0,0
55,48,6,28,26,38,3,186,2202,2810,305,3,0,0,0,0,0,2,0
83,5,1,43,33,50,4,193,1163,3742,361,2,0,0,0,0,1,2,0
42,39,7,43,2,48,2,130,1410,1967,308,3,0,2,0,0,0,2,0
72,2,1,18,6,1,7,132,2118,3813,368,3,1,0,1,0,0,0,0
40,13,2,5,12,27,3,103,1111,1675,396,1,1,3,0,0,0,0,0
52,25,1,43,17,52,4,147,1955,3332,332,1,0,0,1,1,1,2,0
60,43,2,26,29,45,3,186,1671,1184,347,3,1,3,0,0,1,1,1
6,28,1,11,30,1,4,112,2279,1524,389,1,0,2,1,0,0,2,0
47,19,0,20,30,32,7,93,2367,3694,334,1,0,0,1,0,0,0,0
88,48,4,41,12,5,5,199,1098,2354,334,4,0,3,1,1,0,1,1
55,19,0,29,16,9,7,181,1121,2857,319,3,1,0,1,0,1,0,0
16,16,5,16,29,2,6,164,2364,1986,330,2,1,3,0,1,1,2,1
44,33,6,23,5,2,6,195,1811,2971,385,1,0,0,1,0,0,0,0
59,17,6,34,23,17,4,174,1428,3227,349,1,0,2,1,0,0,0,0
77,8,1,38,10,34,5,111,2005,1141,393,0,0,1,0,0,0,0,0
37,45,3,21,12,24,4,197,2015,1637,388,1,1,3,0,1,0,2,0
14,30,1,35,23,0,7,183,1673,1620,301,4,0,0,1,0,1,0,1
25,33,1,19,22,20,5,173,2091,1606,321,0,0,2,1,0,0,2,0
76,9,1,19,21,9,3,96,1840,2259,329,3,0,0,1,1,0,2,1
44,40,5,17,6,31,7,134,1555,3485,318,4,0,2,1,1,1,0,0
61,11,3,9,31,34,3,87,2029,3603,330,1,0,1,0,0,0,0,0
80,28,5,33,30,24,2,187,2458,1815,364,1,0,2,1,0,0,0,0
24,31,5,24,12,25,7,164,1301,1171,328,4,0,1,1,1,0,0,1
16,34,5,28,21,54,5,132,2119,2164,318,3,0,2,0,1,0,2,1
54,46,6,5,31,28,6,123,2224,1605,396,1,1,2,0,0,0,0,0
23,32,4,48,28,8,3,186,1747,3395,303,1,0,3,1,1,0,2,0
69,27,6,31,34,12,6,166,2214,2777,317,4,1,3,1,0,1,2,0
66,41,8,28,33,52,7,98,1553,1131,346,2,0,2,0,0,0,0,0
46,7,5,44,15,45,4,86,1629,2726,325,1,0,2,1,0,0,0,0
65,29,2,21,31,33,6,113,2497,1778,304,0,1,1,1,1,1,2,1
30,33,4,10,34,16,3,146,1799,3704,336,1,0,0,0,0,0,0,1
80,47,3,8,27,54,7,182,1955,2325,330,0,1,0,0,1,0,2,1
35,1,1,30,13,19,3,115,2142,3565,409,1,1,0,1,0,1,0,0
50,22,1,9,23,33,6,166,2186,3723,341,0,0,1,0,0,0,0,0
58,15,1,38,13,28,5,104,1702,1573,332,4,1,0,0,1,1,1,0
71,10,7,22,7,49,5,141,2056,3787,411,1,0,0,0,0,0,2,0
63,31,0,19,10,2,4,195,1553,2575,304,0,0,0,1,0,0,2,0
24,5,6,46,4,32,7,101,2041,3885,340,3,1,0,0,0,1,1,0
34,0,5,47,1,14,6,113,2217,2996,324,1,0,2,1,0,0,2,0
58,0,0,8,26,55,3,116,1568,1544,339,4,1,1,0,0,1,0,1
76,13,3,5,1,29,7,129,1267,3483,376,3,0,2,0,0,0,0,0
48,31,1,41,22,14,3,183,2266,3552,391,0,1,2,1,0,0,2,0
59,45,5,17,25,32,3,151,1654,1549,343,1,0,1,1,0,0,0,0
77,35,1,12,31,25,2,109,1918,2590,369,3,1,0,0,1,1,2,1
34,27,3,14,20,39,7,162,2094,1714,302,1,0,3,0,0,1,0,1
51,36,4,12,15,6,4,192,1351,3483,320,1,0,0,1,0,1,2,0
5,2,1,8,13,27,3,94,1533,1898,384,4,0,0,0,0,0,2,0
59,43,4,45,25,35,3,117,2405,2853,397,4,1,0,1,1,1,0,0
87,9,3,31,29,7,6,148,1584,2183,357,4,0,2,1,1,1,0,0
18,10,6,10,14,21,7,126,1870,3673,391,0,0,2,1,0,1,0,1
54,19,6,3,21,18,2,192,1565,2133,344,1,1,4,0,1,1,1,1
51,37,6,13,10,33,5,89,1468,2899,312,0,1,2,1,1,0,0,0
52,49,1,43,2,44,7,175,1403,1751,336,2,1,2,1,0,1,2,0
21,7,8,35,12,12,7,142,2294,2349,339,0,0,1,1,0,1,0,0
40,30,7,39,15,54,3,180,1122,2145,336,0,0,2,1,1,1,0,0
29,39,1,36,25,13,6,153,1339,2984,347,2,1,2,0,0,0,2,0
44,20,3,23,32,24,6,178,2130,2506,363,4,0,3,0,0,0,0,0
56,23,7,25,25,26,5,177,1188,1281,370,0,0,0,1,0,0,0,0
38,34,8,36,27,50,4,138,1982,1405,364,1,0,0,1,0,0,2,0
88,27,7,28,3,36,5,174,2136,2299,389,0,0,0,0,0,0,2,0
63,45,6,13,3,55,7,121,1545,1856,375,2,0,2,0,0,0,2,0
42,13,7,4,27,3,5,119,1152,1188,393,1,0,1,1,0,0,0,0
18,30,4,22,23,23,6,111,2000,3451,330,4,0,3,1,1,1,2,0
64,23,1,41,12,15,4,90,1397,3176,303,2,1,0,0,0,1,2,0
8,36,4,5,8,29,5,141,1713,3971,406,1,0,0,1,0,0,1,0
76,17,1,5,14,3,3,191,1580,3233,374,1,0,2,1,0,0,2,0
36,8,5,0,1,29,4,199,2036,2525,384,2,0,4,0,0,0,0,1
17,6,1,26,10,22,5,136,2036,3481,340,1,0,0,1,0,0,0,0
14,42,6,43,2,13,5,85,1181,1992,385,0,1,1,0,1,0,1,1
6,3,2,41,24,54,3,171,1623,1532,408,1,0,2,1,0,0,0,0
80,49,7,49,20,46,7,100,1198,1244,303,1,0,0,1,0,0,0,0
46,11,6,43,2,10,4,128,2424,1611,358,1,0,0,0,0,0,2,0
80,37,2,39,14,30,7,94,2222,3603,417,2,1,4,1,1,1,2,1
76,1,7,8,19,38,4,86,2300,3585,389,3,1,2,1,0,0,2,0
65,0,3,3,33,1,4,121,1195,1332,304,1,0,2,1,0,0,2,0
69,18,7,19,22,20,7,106,1684,1747,390,1,0,0,1,0,0,2,0
26,27,7,38,7,48,3,176,1192,1786,415,2,0,2,1,0,0,0,0
42,40,4,39,14,33,2,115,1847,2152,335,4,1,2,0,1,1,2,1
68,4,5,2,7,17,4,99,1424,3771,418,2,0,0,1,0,0,2,0
4,37,1,7,9,25,3,115,1358,3285,309,1,0,0,1,0,0,2,0
62,35,3,28,27,29,3,176,2108,3693,300,1,0,0,0,0,0,0,0
0,31,5,46,27,28,7,101,2127,1742,395,1,1,2,1,0,0,2,0
40,38,1,2,8,22,2,95,1713,1168,391,2,1,2,1,0,0,0,1
35,0,4,1,29,20,4,159,1012,2075,321,1,0,1,0,0,0,0,0
79,39,0,20,2,6,3,158,1129,1707,407,0,1,0,1,0,0,0,0
70,40,2,5,4,10,3,177,1739,3925,383,2,0,4,1,1,1,0,1
66,26,6,13,13,9,4,197,1566,1117,306,1,0,0,1,0,1,2,1
83,10,1,39,8,2,6,160,1540,3242,368,4,0,0,0,1,0,0,0
16,38,7,4,12,15,7,156,2340,2964,405,1,0,2,1,0,0,2,0
81,25,2,10,24,15,6,162,1831,2717,385,4,0,4,1,0,0,2,0
88,37,1,24,34,52,6,126,2220,3436,352,2,0,2,0,0,1,2,0
24,16,7,18,8,21,4,164,1624,3426,331,1,0,0,1,0,0,2,0
31,21,3,22,22,16,5,127,2484,3303,312,1,1,1,0,0,0,0,0
36,28,8,40,10,6,7,153,1558,2316,370,1,0,0,1,0,0,2,0
71,12,7,20,32,20,5,157,1255,3540,352,4,0,3,1,0,0,1,1
47,16,6,36,20,47,7,197,1440,1511,371,4,1,1,0,0,1,0,1
40,4,1,21,28,39,2,118,1152,3393,346,2,1,4,1,1,1,0,0
78,40,6,35,10,25,2,139,1908,2087,341,3,0,1,0,0,1,0,1
23,35,5,28,28,33,2,153,2373,1182,379,2,0,2,1,1,1,2,0
48,19,6,49,11,46,2,162,1896,1351,360,1,0,2,1,0,0,2,0
50,48,5,47,21,36,7,139,2379,3457,320,1,1,4,0,0,1,1,1
7,41,7,44,10,40,7,183,1733,2605,370,4,1,1,1,0,1,2,0
51,23,3,45,19,6,4,193,2113,1209,370,1,0,2,1,0,0,0,0
32,35,6,33,30,21,6,120,2218,1541,326,0,0,0,1,0,0,0,0
35,3,8,27,13,2,3,183,1845,3199,365,1,0,1,1,0,0,0,0
69,6,1,37,16,37,7,148,1354,3046,358,0,0,1,1,0,0,2,0
63,40,2,38,2,43,7,177,2115,2744,336,2,0,0,1,0,0,2,0
29,44,5,20,18,27,5,143,1061,3490,352,1,1,0,0,1,0,2,0
83,48,0,0,7,39,4,108,2215,2407,406,1,0,0,1,0,0,2,0
36,17,5,16,15,29,5,162,2324,2413,396,2,1,1,0,0,0,0,0
6,7,8,35,4,48,5,171,1043,3626,337,2,0,0,0,1,1,2,1
4,47,7,19,15,15,4,124,1855,3565,320,3,0,2,0,1,0,2,0
35,12,2,36,28,14,7,153,1108,3237,342,3,1,0,1,0,0,2,1
20,2,6,6,8,31,4,149,2180,1362,366,3,0,1,0,0,0,0,0
77,38,7,21,1,36,6,190,2116,2727,309,2,0,3,0,0,0,2,0
33,0,3,38,8,49,3,103,2340,1315,364,4,1,4,0,0,0,0,1
71,49,2,13,3,21,5,148,1784,2691,387,2,1,4,0,0,1,2,0
38,0,8,16,17,24,3,178,1451,2147,408,4,0,2,1,1,1,2,0
51,47,7,13,19,17,2,154,2139,2366,415,1,0,1,1,0,0,2,0
25,27,8,33,17,47,5,103,1760,2606,419,1,0,0,1,0,0,0,0
62,9,3,45,29,39,4,200,1232,2782,361,1,0,1,0,0,0,0,1
72,30,2,1,22,21,2,151,2040,2379,406,0,0,2,1,0,1,2,0
28,14,4,6,18,19,2,93,2030,2287,361,2,0,2,0,0,0,2,0
21,30,4,6,5,7,7,197,1645,2736,397,2,0,2,0,0,0,0,0
1,30,0,22,35,38,4,190,2293,1235,366,2,0,0,0,0,0,0,1
85,17,5,9,31,31,3,186,1915,2404,396,3,0,1,1,0,0,0,1
85,44,6,7,27,14,3,139,2151,3537,374,3,1,3,0,1,0,1,0
81,36,6,41,27,9,2,181,1806,1124,329,3,0,1,1,1,0,0,1
4,14,3,2,26,28,4,122,2477,2889,400,1,0,0,1,0,0,0,0
60,0,6,27,33,34,3,119,1379,3695,387,1,0,0,1,0,0,0,0
87,14,8,35,23,53,2,188,1421,2915,405,4,0,1,1,0,1,1,0
81,28,6,15,4,25,4,109,2374,3586,416,2,1,0,1,0,0,0,0
73,20,7,5,28,35,6,156,1589,3304,380,2,0,3,0,1,1,1,0
8,10,5,45,23,8,6,89,1426,2600,380,1,1,0,0,0,0,0,0
81,28,0,35,15,25,3,190,2394,1808,397,1,0,0,1,0,0,0,0
67,14,1,12,27,47,4,89,2483,2900,394,1,0,2,0,0,0,0,0
59,23,1,4,5,26,7,130,2392,3644,374,4,0,0,0,1,1,0,1
34,34,6,11,35,25,5,97,1171,1860,350,2,1,1,0,1,0,0,0
71,45,1,8,21,27,5,157,2491,1106,330,0,1,3,1,0,1,1,0
49,41,4,8,2,4,6,179,1338,3277,405,2,0,0,0,0,0,2,0
33,33,2,32,31,16,2,126,1702,2590,396,1,1,0,1,0,0,2,0
71,9,7,32,14,44,4,111,1054,2366,314,1,0,1,1,0,0,2,0
74,44,1,18,23,32,4,162,1624,1707,339,0,0,1,0,0,1,2,0
29,35,3,46,9,38,2,106,1571,2932,341,1,0,0,1,0,0,2,0
50,31,1,22,21,28,3,184,1889,1118,349,0,0,2,1,1,1,0,0
82,11,7,27,30,8,7,191,1687,1338,411,2,0,4,0,0,1,1,1
28,13,7,38,31,33,3,148,1874,3418,312,3,1,0,0,1,1,2,0
80,20,1,32,26,10,7,121,2395,1880,367,3,0,4,0,0,0,2,0
90,31,5,5,2,24,2,196,1444,1221,356,4,0,1,0,1,1,0,0
41,4,3,10,0,51,5,195,2450,1372,399,0,0,0,0,0,0,0,0
68,19,7,34,0,48,3,180,1378,3774,350,1,0,1,1,0,0,2,0
60,0,4,11,20,31,6,144,2432,3522,400,2,0,4,0,0,1,2,0
49,6,1,19,15,38,2,189,1418,3991,324,2,1,0,0,0,1,2,1
2,8,8,12,1,18,4,105,1262,2911,354,1,0,1,0,0,0,0,0
88,23,2,5,26,26,7,143,1718,1967,306,4,1,2,1,1,0,2,0
53,23,4,42,0,31,6,100,1686,2960,345,4,1,0,0,0,0,2,1
54,37,1,1,31,25,7,140,1478,1342,389,1,0,2,1,0,0,2,0
23,46,6,24,12,7,6,126,1894,1668,352,2,1,4,1,0,0,0,0
0,31,4,8,1,40,6,191,2103,3139,355,1,1,4,1,0,1,0,1
21,48,1,3,34,38,2,115,2001,1464,348,1,1,2,0,0,1,2,1
22,31,1,7,23,20,7,187,2329,1564,408,1,0,0,0,0,1,2,1
11,31,2,3,31,5,5,124,1976,3446,312,3,0,1,1,0,0,2,0
65,34,4,3,17,42,5,176,1258,1579,349,1,0,2,1,0,0,0,0
21,17,5,10,23,49,3,126,1242,2928,344,0,0,3,1,0,0,0,1
50,34,2,39,20,54,3,129,1174,2699,362,4,0,2,0,0,0,2,0
16,25,5,16,1,44,2,93,2026,3602,306,3,0,0,0,0,0,0,0
5,1,8,19,21,8,2,153,1162,2744,309,1,1,2,1,0,1,1,1
88,25,1,21,21,11,3,138,2192,1389,323,1,0,2,1,0,0,0,0
70,4,8,48,6,49,6,180,2273,3512,404,1,0,0,1,0,0,2,0
14,14,1,2,7,14,6,157,2234,1106,391,1,0,0,1,0,0,2,0
38,15,4,46,14,5,4,155,1430,1462,406,3,1,2,1,0,1,1,0
33,0,5,30,25,24,4,140,2452,1638,370,4,0,2,0,0,1,2,1
17,36,7,38,33,54,4,96,1812,1420,325,1,0,1,1,0,0,2,0
54,20,7,36,20,33,5,171,1916,2359,385,0,0,1,0,0,0,2,0
31,29,2,16,6,37,2,197,1190,2102,416,1,1,2,0,0,0,2,0
49,11,5,9,32,11,7,171,2303,2448,301,1,0,0,1,1,1,2,1
12,43,7,14,13,42,7,124,1148,2182,387,3,1,2,0,1,1,1,1
53,23,3,44,5,53,3,149,2495,1985,339,1,0,2,1,0,0,0,0
65,11,0,36,18,44,7,133,1751,2902,352,4,0,4,1,0,0,2,0
6,40,2,44,14,42,6,151,1708,1625,382,2,0,2,0,1,0,0,0
53,27,2,18,30,47,2,139,2246,1123,398,2,0,0,1,0,0,0,0
2,35,2,11,8,24,3,155,1922,2163,304,4,1,2,1,1,0,1,0
43,3,1,11,29,54,6,179,1790,3563,380,0,0,1,0,1,1,2,0
43,32,8,21,6,25,6,111,1139,1185,336,4,1,1,0,0,0,0,1
90,45,2,26,32,17,6,189,1346,2687,343,4,0,0,0,0,1,0,1
78,47,7,48,14,9,3,137,1222,2807,322,1,0,2,1,0,0,2,0
58,23,2,13,18,38,5,191,2108,3936,307,4,0,4,1,0,0,0,1
54,16,2,30,4,6,2,87,2311,3353,391,1,0,2,0,1,1,2,0
57,42,8,10,11,49,5,113,2341,1940,399,1,0,0,1,0,0,0,0
66,27,6,42,25,2,4,120,1452,3228,411,1,1,2,1,0,0,0,0
70,17,1,50,8,32,3,116,1580,2603,305,1,1,0,1,0,0,0,0
